REGION_ID,MON_YEAR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG3,`Jun-15,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,SURULIYAR  HPS.,35,4,4
REG1,`Jun-15,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,ADHPL,ALLAIN DUHANGAN  HPS,192,130,116
REG1,`Jun-15,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,CHHABRA TPP,"1,000",355,384
REG1,`Jun-15,NORTHERN,UTTARAKHAND,PRIVATE IPP,HYDRO,HYDRO,JPPVL,VISHNU PRAYAG  HPS,400,274,238
REG2,`Jun-15,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,JSWEL,JSW RATNAGIRI TPP,"1,200",711,477
REG4,`Jun-15,EASTERN,JHARKHAND,PRIVATE IPP,THERMAL,COAL,MPL,MAITHON RB TPP,"1,050",552,621
REG1,`Jun-15,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,CHUTAK HPS,44,5,2
REG1,`Jun-15,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,NIMBOO BAZDO HPS,45,6,6
REG3,`Jun-15,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,BHAWANI BARRAGE-II HPS,30,4,0
REG1,`Jun-15,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,KALISINDH TPS,"1,200",324,419
REG4,`Jun-15,EASTERN,ORISSA,PRIVATE IPP,THERMAL,COAL,IBPIL,IND BARATH TPP,0,0,0
REG2,`Jun-15,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,ACB,SWASTIK KORBA TPP,25,0,0
REG2,`Jun-15,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,APL,TIRORA TPS,"3,300","2,021","1,672"
REG1,`Jun-15,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,JPPVL,PRAYAGRAJ TPP,0,0,0
REG1,`Jun-15,NORTHERN,HARYANA,PRIVATE IPP,THERMAL,COAL,JhPL(HR),MAHATMA GANDHI TPS,"1,320",625,563
REG3,`Jun-15,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,COAL,SEPL,SIMHAPURI TPS,600,138,307
REG2,`Jun-15,WESTERN,MADHYA PRADESH,PRIVATE IPP,THERMAL,COAL,SPL,SASAN UMTPP,"3,960","1,696","2,417"
REG2,`Jun-15,WESTERN,MADHYA PRADESH,PRIVATE IPP,THERMAL,COAL,BLAPPL,NIWARI TPP,45,33,5
REG4,`Jun-15,EASTERN,ORISSA,PRIVATE IPP,THERMAL,COAL,JITPL,DERANG TPP,"1,200",165,448
REG1,`Jun-15,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NTPC Ltd.,KOLDAM,800,0,155
REG2,`Jun-15,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,ACB,KASAIPALLI TPP,270,175,158
REG2,`Jun-15,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BANSAGAR TONS-II  HPS,30,8,27
REG3,`Jun-15,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,LOWER SILERU  HPS,460,71,79
REG3,`Jun-15,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,DIESEL,LVS POWER,LVS POWER DG,37,0,0
REG3,`Jun-15,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,GAS,KONA,KONASEEMA CCPP,445,0,0
REG2,`Jun-15,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,KORBA-III,240,117,110
REG3,`Jun-15,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,IDUKKI  HPS.,780,180,151
REG2,`Jun-15,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,NASIK TPS,630,369,374
REG3,`Jun-15,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,NORTH CHENNAI TPS,"1,830",992,909
REG3,`Jun-15,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,JOG  HPS,139,19,30
REG4,`Jun-15,EASTERN,JHARKHAND,PRIVATE IPP,THERMAL,COAL,TATA PCL,JOJOBERA TPS,360,213,189
REG2,`Jun-15,WESTERN,GUJARAT,STATE,HYDRO,HYDRO,GSECL,KADANA  HPS,240,6,5
REG3,`Jun-15,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,LIGANAMAKKI  HPS,55,7,4
REG2,`Jun-15,WESTERN,GUJARAT,STATE,THERMAL,LIGNITE,GMDCL,AKRIMOTA LIG TPS,250,132,123
REG4,`Jun-15,EASTERN,JHARKHAND,STATE,THERMAL,COAL,JSEB,PATRATU TPS,770,95,57
REG1,`Jun-15,NORTHERN,RAJASTHAN,STATE,HYDRO,HYDRO,RRVUNL,R P SAGAR  HPS,172,0,1
REG1,`Jun-15,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,SALAL  HPS,690,438,456
REG2,`Jun-15,WESTERN,MAHARASHTRA,STATE,THERMAL,GAS,MAHAGENCO,URAN CCPP,672,288,169
REG3,`Jun-15,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,SHOLAYAR  HPS.,95,24,5
REG1,`Jun-15,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,YAMUNA NAGAR TPS,600,232,194
REG4,`Jun-15,EASTERN,JHARKHAND,STATE,HYDRO,HYDRO,JSEB,SUBERNREKHA  HPS.,130,0,10
REG4,`Jun-15,EASTERN,ORISSA,CENTRAL,THERMAL,COAL,NTPC Ltd.,TALCHER (OLD) TPS,460,302,323
REG1,`Jun-15,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,NHPC,TANAKPUR  HPS,94,42,48
REG2,`Jun-15,WESTERN,GUJARAT,STATE,HYDRO,HYDRO,GSECL,UKAI  HPS,300,40,11
REG2,`Jun-15,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,GAS,GIPCL,GIPCL. GT IMP,0,12,12
REG2,`Jun-15,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,GAS,RGPPL,RATNAGIRI CCPP I,740,0,0
REG5,`Jun-15,NORTH EASTERN,TRIPURA,STATE,THERMAL,GAS,TSECL,ROKHIA GT,111,34,40
REG1,`Jun-15,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,PANKI TPS,210,93,86
REG1,`Jun-15,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,OBRA TPS,"1,278",365,307
REG2,`Jun-15,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,GAS,RGPPL,RATNAGIRI CCPP III,740,0,0
REG3,`Jun-15,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APGENCO,RAYALASEEMA TPS,"1,050",680,547
REG3,`Jun-15,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,HAMPI  HPS,36,0,0
REG2,`Jun-15,WESTERN,GUJARAT,STATE,THERMAL,GAS,GSEGL,HAZIRA CCPP,156,18,4
REG5,`Jun-15,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,MYNTDU(LESHKA) St-1 HPS,126,60,80
REG5,`Jun-15,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,UMIAM  HPS ST-I,36,5,8
REG2,`Jun-15,WESTERN,MAHARASHTRA,PRIVATE,HYDRO,HYDRO,TATA MAH.,BHIRA PSS  HPS,150,0,39
REG3,`Jun-15,SOUTHERN,TAMIL NADU,PRIVATE IPP,THERMAL,LIGNITE,ST-CMSECP,NEYVELI TPS(Z),250,152,150
REG1,`Jun-15,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,RPSCL,ROSA TPP Ph-I,"1,200",806,682
REG1,`Jun-15,NORTHERN,HARYANA,CENTRAL,THERMAL,COAL,APCPL,INDIRA GANDHI STPP,"1,500",536,485
REG1,`Jun-15,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,LAPPL,ANPARA C TPS,"1,200",778,762
REG1,`Jun-15,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,UHL-III HPS,0,0,0
REG3,`Jun-15,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,COAL,NTECL,VALLUR TPP,"1,500",554,642
REG2,`Jun-15,WESTERN,MADHYA PRADESH,PRIVATE IPP,HYDRO,HYDRO,SMHPCL,MAHESHWAR HPS,0,0,0
REG3,`Jun-15,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,BHAWANI BARRAGE III HPS,30,3,0
REG1,`Jun-15,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,GBHPPL,BUDHIL HPS,70,31,44
REG1,`Jun-15,NORTHERN,PUNJAB,PRIVATE IPP,THERMAL,COAL,SEL,TALWANDI SABO TPP,660,259,228
REG2,`Jun-15,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,RKMPPL,UCHPINDA TPP,0,0,0
REG3,`Jun-15,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APGENCO,DAMODARAM SANJEEVAIAH TPS,"1,600",288,374
REG3,`Jun-15,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,COAL,NTPL,TUTICORIN (JV) TPP,500,174,88
REG2,`Jun-15,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,VIP,BUTIBORI TPP,600,320,335
REG2,`Jun-15,WESTERN,MADHYA PRADESH,PRIVATE IPP,THERMAL,COAL,MBPMPL,ANUPPUR TPP,600,0,28
REG3,`Jun-15,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,SCCL,SINGARENI TPP,0,0,0
REG2,`Jun-15,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,COAL,CGPL,MUNDRA UMTPP,"4,000","2,244","2,115"
REG1,`Jun-15,NORTHERN,RAJASTHAN,PRIVATE IPP,THERMAL,COAL,APL,KAWAI TPS,"1,320",702,391
REG2,`Jun-15,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,GAS,TOR. POW. (UNOSUGEN),DGEN MEGA CCPP,"1,200",0,319
REG2,`Jun-15,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,SVPPL,SVPL TPP,63,0,0
REG2,`Jun-15,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,IEPL,BELA TPS,270,0,0
REG1,`Jun-15,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,LPGCL,LALITPUR TPS,0,0,0
REG5,`Jun-15,NORTH EASTERN,ASSAM,CENTRAL,THERMAL,COAL,NTPC Ltd.,BONGAIGAON TPP,0,0,0
REG1,`Jun-15,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,GAS,NTPC Ltd.,DADRI CCPP,830,191,209
REG1,`Jun-15,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,DHAKRANI  HPS,34,13,15
REG3,`Jun-15,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,LOWER PERIYAR  HPS.,180,57,57
REG3,`Jun-15,SOUTHERN,TELANGANA,CENTRAL,THERMAL,COAL,NTPC Ltd.,RAMAGUNDEM STPS,"2,600","1,627","1,508"
REG2,`Jun-15,WESTERN,GUJARAT,CENTRAL,NUCLEAR,NUCLEAR,NPCIL,KAKRAPARA,440,279,303
REG3,`Jun-15,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,GAS,KONDAPALI,KONDAPALLI CCPP,350,0,7
REG5,`Jun-15,NORTH EASTERN,ASSAM,CENTRAL,HYDRO,HYDRO,NEEPCO.,KOPILI  HPS.,225,91,93
REG2,`Jun-15,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,KORBA-II,200,88,63
REG1,`Jun-15,NORTHERN,RAJASTHAN,STATE,THERMAL,GAS,RRVUNL,RAMGARH CCPP,274,86,88
REG4,`Jun-15,EASTERN,ORISSA,STATE,HYDRO,HYDRO,OHPC,UPPER  INDRAVATI  HPS.,600,166,293
REG3,`Jun-15,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,KADRA  HPS,150,19,31
REG1,`Jun-15,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,LARJI  HPS,126,84,82
REG2,`Jun-15,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,PENCH  HPS,160,19,9
REG2,`Jun-15,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,GANDHI SAGAR  HPS,115,8,0
REG1,`Jun-15,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,MUKERIAN  HPS,207,67,59
REG3,`Jun-15,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,ENNORE TPS,450,53,54
REG4,`Jun-15,EASTERN,WEST BENGAL,CENTRAL,THERMAL,COAL,NTPC Ltd.,FARAKKA STPS,"2,100","1,181","1,058"
REG2,`Jun-15,WESTERN,MAHARASHTRA,PRIVATE,HYDRO,HYDRO,TATA MAH.,BHIRA   HPS,150,70,31
REG2,`Jun-15,WESTERN,GUJARAT,STATE,THERMAL,COAL,GSECL,WANAKBORI TPS,"1,470",831,427
REG1,`Jun-15,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,I.P.CCPP,270,83,46
