REGION_ID,MON_YEAR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG3,`Jul-15,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,LOWER JURALA HPS,0,0,0
REG2,`Jul-15,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,SCPL,RATIJA TPS,50,25,8
REG2,`Jul-15,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,GEPL,GEPL TPP Ph-I,120,0,0
REG3,`Jul-15,SOUTHERN,KARNATAKA,STATE,THERMAL,COAL,KPCL,YERMARUS TPP,0,0,0
REG5,`Jul-15,NORTH EASTERN,TRIPURA,STATE,THERMAL,GAS,TSECL,BARAMURA GT,59,30,18
REG3,`Jul-15,SOUTHERN,TAMIL NADU,STATE,THERMAL,NAPTHA,TNGDCL,BASIN BRIDGE GT (Liq.),120,0,1
REG4,`Jul-15,EASTERN,WEST BENGAL,STATE,HYDRO,HYDRO,WBSEDCL,RAMMAM  HPS.,50,34,37
REG5,`Jul-15,NORTH EASTERN,ARUNACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NEEPCO.,RANGANADI  HPS.,405,190,141
REG1,`Jul-15,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,CHIBRO (YAMUNA)  HPS,240,108,128
REG1,`Jul-15,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,NHPC,DHAULI GANGA  HPS,280,195,199
REG2,`Jul-15,WESTERN,GUJARAT,STATE,THERMAL,GAS,GSECL,DHUVARAN CCPP,595,17,17
REG4,`Jul-15,EASTERN,ORISSA,STATE,HYDRO,HYDRO,OHPC,MACHKUND  HPS,115,39,53
REG1,`Jul-15,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,PARICHHA TPS,"1,140",650,578
REG1,`Jul-15,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,KHATIMA  HPS,41,14,12
REG1,`Jul-15,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,RAMGANGA  HPS,198,3,59
REG3,`Jul-15,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,KODASALI  HPS,120,40,29
REG4,`Jul-15,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,WBPDC,KOLAGHAT TPS,"1,260",567,471
REG2,`Jul-15,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,KOYNA-II  HPS,320,0,50
REG2,`Jul-15,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,KOYNA-IV  HPS,"1,000",75,57
REG3,`Jul-15,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,KUTTIYADI  HPS.,125,83,90
REG4,`Jul-15,EASTERN,BIHAR,CENTRAL,THERMAL,COAL,NTPC Ltd.,KAHALGAON TPS,"2,340","1,319","1,307"
REG5,`Jul-15,NORTH EASTERN,ASSAM,STATE,THERMAL,GAS,APGPCL,LAKWA GT,157,70,65
REG3,`Jul-15,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,ALMATTI DPH  HPS,290,70,25
REG1,`Jul-15,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA- I  HPS,540,365,404
REG3,`Jul-15,SOUTHERN,KARNATAKA,PRIVATE IPP,THERMAL,COAL,JSWEL,TORANGALLU TPS(SBU-I),260,180,159
REG2,`Jul-15,WESTERN,GUJARAT,PRIVATE,THERMAL,COAL,TOR. POW. (UNOSUGEN),SABARMATI (D-F STATIONS),362,255,184
REG3,`Jul-15,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,GAS,VEMAGIRI,VEMAGIRI CCPP,370,0,0
REG3,`Jul-15,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,BHAWANI KATTAL,30,6,6
REG3,`Jul-15,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,PERIYAR  HPS.,140,45,80
REG3,`Jul-15,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,PORINGALKUTTU  HPS.,32,20,25
REG3,`Jul-15,SOUTHERN,KARNATAKA,STATE,THERMAL,COAL,KPCL,RAICHUR TPS,"1,720",797,897
REG2,`Jul-15,WESTERN,MADHYA PRADESH,STATE,THERMAL,COAL,MPPGCL,SANJAY GANDHI TPS,"1,340",523,327
REG3,`Jul-15,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,T B   DAM  HPS,36,0,8
REG5,`Jul-15,NORTH EASTERN,ASSAM,STATE,THERMAL,MULTI FUEL,APGPCL,CHANDRAPUR(ASSAM) TPS,60,0,0
REG3,`Jul-15,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,METTUR TUNNEL  HPS.,200,37,5
REG2,`Jul-15,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,GAS,RGPPL,RATNAGIRI CCPP II,740,0,0
REG3,`Jul-15,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,SARKARPATHY  HPS.,30,0,0
REG3,`Jul-15,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,SHARAVATHI  HPS,"1,035",443,338
REG2,`Jul-15,WESTERN,GUJARAT,STATE,THERMAL,COAL,GSECL,SIKKA REP. TPS,490,36,49
REG4,`Jul-15,EASTERN,WEST BENGAL,PRIVATE,THERMAL,COAL,CESC,SOUTHERN REPL. TPS,135,66,70
REG1,`Jul-15,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,SURATGARH TPS,"1,500",978,380
REG1,`Jul-15,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,TANDA TPS,440,223,302
REG3,`Jul-15,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,METTUR TPS,"1,440",852,740
