REGION_ID,MON_YEAR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG2,Mar-2015,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,CHANDRAPUR(MAHARASHTRA) STPS,2340,1091,1134.08
REG2,Mar-2015,WESTERN,GUJARAT,PRIVATE,THERMAL,GAS,TOR. POW. (UNOSUGEN),VATWA CCPP,100,0,0
REG1,Mar-2015,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,DULHASTI  HPS,390,98,113.52
REG4,Mar-2015,EASTERN,WEST BENGAL,PRIVATE,THERMAL,COAL,CESC,BUDGE BUDGE TPS,750,558,495.89
REG3,Mar-2015,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,PALLIVASAL  HPS.,37.5,19,17.52
REG1,Mar-2015,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,RIHAND STPS,3000,1771,1705.82
REG1,Mar-2015,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,GH TPS (LEH.MOH.),920,457,217.78
REG2,Mar-2015,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,LIGNITE,GIPCL,SURAT LIG. TPS,500,334,247.54
REG1,Mar-2015,NORTHERN,UTTAR PRADESH,STATE,HYDRO,HYDRO,UPJVNL,MATATILA  HPS,30.6,4,4.95
REG3,Mar-2015,SOUTHERN,TAMIL NADU,PRIVATE IPP,THERMAL,GAS,ABAN POWR,KARUPPUR CCPP,119.8,50,72.5
REG2,Mar-2015,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,KHAPARKHEDA TPS,1340,653,826.06
REG1,Mar-2015,NORTHERN,UTTAR PRADESH,STATE,HYDRO,HYDRO,UPJVNL,OBRA  HPS,99,14,14.82
REG3,Mar-2015,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,KAKKAD  HPS.,50,21,21.23
REG3,Mar-2015,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,SURULIYAR  HPS.,35,4,8.6
REG1,Mar-2015,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,ADHPL,ALLAIN DUHANGAN  HPS,192,20,13.36
REG1,Mar-2015,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,CHHABRA TPP,1000,317,502.86
REG3,Mar-2015,SOUTHERN,TELANGANA,STATE,THERMAL,COAL,NA,KOTHAGUDEM TPS (NEW),1000,610,736.03
REG2,Mar-2015,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,JSWEL,JSW RATNAGIRI TPP,1200,340,472.14
REG4,Mar-2015,EASTERN,JHARKHAND,PRIVATE IPP,THERMAL,COAL,MPL,MAITHON RB TPP,1050,612,641.39
REG1,Mar-2015,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,CHUTAK HPS,44,7,3.81
REG1,Mar-2015,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,NIMBOO BAZDO HPS,45,10,11.26
REG3,Mar-2015,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,BHAWANI BARRAGE-II HPS,30,1,0
REG1,Mar-2015,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,KALISINDH TPS,600,223,0
REG4,Mar-2015,EASTERN,ORISSA,PRIVATE IPP,THERMAL,COAL,IBPIL,IND BARATH TPP,0,0,0
REG2,Mar-2015,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,ACB,SWASTIK KORBA TPP,0,0,0
REG2,Mar-2015,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,APL,TIRORA TPS,3300,1318,1590.62
REG1,Mar-2015,NORTHERN,HARYANA,PRIVATE IPP,THERMAL,COAL,JhPL(HR),MAHATMA GANDHI TPS,1320,470,691.21
REG3,Mar-2015,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,COAL,SEPL,SIMHAPURI TPS,450,255,256.33
REG2,Mar-2015,WESTERN,MADHYA PRADESH,PRIVATE IPP,THERMAL,COAL,JBTPP,BINA TPS,500,152,56.86
REG2,Mar-2015,WESTERN,MADHYA PRADESH,PRIVATE IPP,THERMAL,COAL,BLAPPL,NIWARI TPP,45,30,24.8
REG2,Mar-2015,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,ACB,KASAIPALLI TPP,270,180,189.98
REG1,Mar-2015,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,JPPVL,PRAYAGRAJ TPP,0,0,0
REG1,Mar-2015,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NTPC Ltd.,KOLDAM,0,0,0
REG2,Mar-2015,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BANSAGAR TONS-II  HPS,30,4,6.08
REG3,Mar-2015,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,DIESEL,LVS POWER,LVS POWER DG,36.8,0,0
REG3,Mar-2015,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,GAS,KONA,KONASEEMA CCPP,445,0,0
REG2,Mar-2015,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,KORBA-III,240,124,80.25
REG3,Mar-2015,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,IDUKKI  HPS.,780,362,236.8
REG1,Mar-2015,NORTHERN,UTTAR PRADESH,CENTRAL,NUCLEAR,NUCLEAR,NPC,NARORA  A.P.S.,440,252,316.52
REG2,Mar-2015,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,NASIK TPS,630,405,391.44
REG3,Mar-2015,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,NORTH CHENNAI TPS,1830,867,987.16
REG3,Mar-2015,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,JOG  HPS,139.2,25,36.45
REG4,Mar-2015,EASTERN,JHARKHAND,PRIVATE IPP,THERMAL,COAL,TATA PCL,JOJOBERA TPS,360,208,187.03
REG2,Mar-2015,WESTERN,GUJARAT,STATE,HYDRO,HYDRO,GSECL,KADANA  HPS,240,9,8.23
REG3,Mar-2015,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,LIGANAMAKKI  HPS,55,26,28.15
REG2,Mar-2015,WESTERN,GUJARAT,STATE,THERMAL,LIGNITE,GMDCL,AKRIMOTA LIG TPS,250,124,128.18
REG4,Mar-2015,EASTERN,JHARKHAND,STATE,THERMAL,COAL,JSEB,PATRATU TPS,770,73,39.56
REG1,Mar-2015,NORTHERN,RAJASTHAN,STATE,HYDRO,HYDRO,RRVUNL,R P SAGAR  HPS,172,0,16.66
REG1,Mar-2015,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,SALAL  HPS,690,113,297.3
REG2,Mar-2015,WESTERN,MAHARASHTRA,STATE,THERMAL,GAS,MAHAGENCO,URAN CCPP,672,290,273.57
REG3,Mar-2015,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,SHOLAYAR  HPS.,95,10,2.96
REG1,Mar-2015,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,YAMUNA NAGAR TPS,600,358,176.92
REG4,Mar-2015,EASTERN,JHARKHAND,STATE,HYDRO,HYDRO,JSEB,SUBERNREKHA  HPS.,130,4,4.08
REG4,Mar-2015,EASTERN,ORISSA,CENTRAL,THERMAL,COAL,NTPC Ltd.,TALCHER (OLD) TPS,460,314,344.75
REG1,Mar-2015,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,NHPC,TANAKPUR  HPS,94.2,16,29.61
REG2,Mar-2015,WESTERN,GUJARAT,STATE,HYDRO,HYDRO,GSECL,UKAI  HPS,300,30,57.28
REG2,Mar-2015,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,GAS,GIPCL,GIPCL. GT IMP,0,17,18.92
REG2,Mar-2015,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,GAS,RGPPL,RATNAGIRI CCPP I,740,39,0
REG5,Mar-2015,NORTH EASTERN,TRIPURA,STATE,THERMAL,GAS,TSECL,ROKHIA GT,111,41,36.89
REG1,Mar-2015,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,PANKI TPS,210,100,84.35
REG1,Mar-2015,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,OBRA TPS,1278,399,321.96
REG2,Mar-2015,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,GAS,RGPPL,RATNAGIRI CCPP III,740,36,0
REG3,Mar-2015,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APGENCO,RAYALASEEMA TPS,1050,665,719.27
REG3,Mar-2015,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,HAMPI  HPS,36,11,0
REG2,Mar-2015,WESTERN,GUJARAT,STATE,THERMAL,GAS,GSEGL,HAZIRA CCPP,156.1,27,20.17
REG1,Mar-2015,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,"JK, PDD",LOWER JHELUM  HPS,105,40,37.2
REG5,Mar-2015,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,MYNTDU(LESHKA) St-1 HPS,126,5,12.4
REG5,Mar-2015,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,UMIAM  HPS ST-I,36,6,7.13
REG2,Mar-2015,WESTERN,MAHARASHTRA,PRIVATE,HYDRO,HYDRO,TATA MAH.,BHIRA PSS  HPS,150,0,25.75
REG3,Mar-2015,SOUTHERN,TAMIL NADU,PRIVATE IPP,THERMAL,LIGNITE,ST-CMSECP,NEYVELI TPS(Z),250,159,167.59
REG1,Mar-2015,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,RPSCL,ROSA TPP Ph-I,1200,752,336.57
REG1,Mar-2015,NORTHERN,HARYANA,CENTRAL,THERMAL,COAL,APCPL,INDIRA GANDHI STPP,1500,550,536.83
REG1,Mar-2015,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,LAPPL,ANPARA C TPS,1200,648,722.04
REG1,Mar-2015,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,UHL-III HPS,0,0,0
REG3,Mar-2015,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,COAL,NTECL,VALLUR TPP,1500,691,620.82
REG3,Mar-2015,SOUTHERN,TAMIL NADU,CENTRAL,NUCLEAR,NUCLEAR,NPC,KUDANKULAM,1000,651,692.7
REG2,Mar-2015,WESTERN,MADHYA PRADESH,PRIVATE IPP,HYDRO,HYDRO,SMHPCL,MAHESHWAR HPS,0,0,0
REG3,Mar-2015,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,BHAWANI BARRAGE III HPS,30,2,0
REG1,Mar-2015,NORTHERN,PUNJAB,PRIVATE IPP,THERMAL,COAL,SEL,TALWANDI SABO TPP,660,246,251.54
REG2,Mar-2015,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,RKMPPL,UCHPINDA TPP,0,0,0
REG3,Mar-2015,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APGENCO,DAMODARAM SANJEEVAIAH TPS,800,298,32.85
REG2,Mar-2015,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,VIP,BUTIBORI TPP,600,33,343.53
REG2,Mar-2015,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,COAL,CGPL,MUNDRA UMTPP,4000,1837,2115.38
REG1,Mar-2015,NORTHERN,RAJASTHAN,PRIVATE IPP,THERMAL,COAL,APL,KAWAI TPS,1320,680,433.59
REG2,Mar-2015,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,SVPPL,SVPL TPP,63,5,0
REG4,Mar-2015,EASTERN,ORISSA,PRIVATE IPP,THERMAL,COAL,JPL,DERANG TPP,1200,0,122.82
REG2,Mar-2015,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,GAS,TOR. POW. (UNOSUGEN),DGEN MEGA CCPP,1200,0,0
REG2,Mar-2015,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,IEPL,BELA TPS,270,9,0
