State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Haryana,Hissar,2010.0,8.0,3.0,2.4,0.4,0.6,35.9,147.4,86.6,81.8,0.0,0.0,14.2,380.3
Haryana,Jhajjar,2004.0,28.0,0.0,0.0,23.0,73.4,72.5,31.0,203.5,0.0,42.0,0.0,0.0,473.4
Haryana,Jhajjar,2005.0,10.0,47.5,30.5,0.0,12.0,90.0,271.5,6.5,151.3,0.0,0.0,0.0,619.3
Haryana,Jhajjar,2006.0,N.A.,N.A.,68.0,0.0,35.0,N.A.,164.1,37.0,67.0,0.0,0.0,0.0,N.A.
Haryana,Jhajjar,2007.0,N.A.,N.A.,N.A.,N.A.,N.A.,109.7,41.8,106.0,43.7,0.0,0.0,0.0,N.A.
Haryana,Jhajjar,2008.0,N.A.,N.A.,N.A.,N.A.,N.A.,139.9,150.0,198.9,123.5,0.0,0.0,0.0,N.A.
Haryana,Jhajjar,2009.0,0.0,0.0,0.3,14.0,9.0,4.3,97.7,72.6,183.0,0.0,0.0,0.0,380.9
Haryana,Jhajjar,2010.0,0.0,5.3,0.0,0.0,0.0,0.0,99.7,238.3,142.4,0.0,0.0,0.0,485.7
Haryana,Jind,2004.0,22.9,5.0,0.0,42.0,54.0,79.8,5.1,322.3,10.8,91.0,1.0,0.8,634.7
Haryana,Jind,2005.0,26.7,24.7,59.5,2.5,0.0,22.2,337.6,70.0,270.2,0.0,0.0,0.0,813.4
Haryana,Jind,2006.0,0.0,0.0,29.0,0.0,27.6,30.0,182.3,43.8,54.3,5.0,4.2,6.0,382.2
Haryana,Jind,2007.0,0.0,102.7,92.0,0.0,28.0,88.4,100.3,87.3,58.5,0.0,0.0,0.0,557.2
Haryana,Jind,2008.0,1.5,0.0,N.A.,N.A.,N.A.,170.4,102.1,123.4,154.8,0.0,9.5,0.0,N.A.
Haryana,Jind,2009.0,10.5,8.8,9.0,15.0,0.0,18.5,114.3,29.2,201.5,0.0,0.0,0.0,406.8
Haryana,Jind,2010.0,11.3,7.2,0.0,0.0,0.0,26.9,207.9,110.6,162.0,0.0,0.1,17.6,543.6
Haryana,Kaithal,2004.0,53.0,0.0,0.0,52.5,88.0,165.0,3.0,340.3,N.A.,9.0,25.0,0.0,N.A.
