State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Chhattisgarh,Kowardha,2004.0,0.0,N.A.,N.A.,N.A.,0.0,197.7,292.0,189.7,50.1,37.2,0.0,0.0,N.A.
Chhattisgarh,Kowardha,2005.0,N.A.,N.A.,10.0,N.A.,0.0,172.2,284.4,245.8,227.2,26.6,0.0,0.0,N.A.
Chhattisgarh,Kowardha,2006.0,0.0,N.A.,N.A.,N.A.,0.0,38.7,418.8,245.7,45.6,19.7,4.6,0.0,N.A.
Chhattisgarh,Kowardha,2007.0,0.0,55.2,19.2,1.0,9.8,70.7,134.5,199.1,147.3,17.7,0.0,0.0,654.5
Chhattisgarh,Kowardha,2008.0,0.0,0.0,0.0,0.0,0.0,132.1,210.8,174.4,177.4,0.0,0.0,0.0,694.7
Chhattisgarh,Kowardha,2009.0,0.0,0.0,0.0,0.0,0.0,66.0,149.4,250.0,37.0,15.0,95.0,0.0,612.4
Chhattisgarh,Kowardha,2010.0,0.0,15.0,0.0,0.0,0.0,53.0,544.0,272.0,276.0,40.5,8.5,16.0,1225.0
Chhattisgarh,Mahasamund,2004.0,47.2,19.0,35.7,31.2,5.8,257.6,338.8,257.7,173.5,56.3,0.0,0.0,1222.8
Chhattisgarh,Mahasamund,2005.0,85.4,19.1,7.7,0.0,40.0,168.3,444.9,245.5,251.8,116.3,0.0,0.0,1379.0
Chhattisgarh,Mahasamund,2006.0,0.0,0.0,8.6,22.6,8.6,85.4,388.2,723.8,144.7,0.0,2.0,0.0,1383.9
Chhattisgarh,Mahasamund,2007.0,0.0,32.5,0.0,14.0,8.7,232.0,296.3,258.3,303.3,29.5,0.0,0.0,1174.6
Chhattisgarh,Mahasamund,2008.0,0.0,5.8,0.0,0.0,0.0,237.0,171.3,246.2,270.0,14.6,0.0,0.0,944.9
Chhattisgarh,Mahasamund,2009.0,0.0,0.0,0.0,0.0,0.0,21.2,895.2,188.7,68.9,16.1,0.0,0.0,1190.1
Chhattisgarh,Mahasamund,2010.0,0.0,0.1,0.0,0.0,0.0,182.0,513.0,197.4,189.1,23.4,4.4,20.6,1130.0
