2004.0,14.2,N.A.,0.0,31.0,120.0,190.6,865.0,0.0,0.0,N.A.,N.A.,N.A.,N.A.
2005.0,N.A.,N.A.,N.A.,N.A.,4.0,55.0,167.0,677.6,114.0,132.4,N.A.,N.A.,N.A.
2006.0,N.A.,N.A.,N.A.,N.A.,156.0,151.6,212.4,28.5,465.0,161.6,0.0,0.0,N.A.
2007.0,0.0,0.0,0.0,0.0,N.A.,341.0,106.0,57.0,N.A.,N.A.,N.A.,N.A.,N.A.
2008.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,583.8,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
2009.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,84.2,289.5,1.6,N.A.,N.A.,N.A.,N.A.
2010.0,0.0,0.0,0.0,0.0,N.A.,658.0,762.6,418.2,373.0,41.4,45.4,0.0,N.A.
