DATE,REGION,STATE NAME,MODE OF TRANSPORT,STATION NAME,UTILITY,SECTOR,CAPACITY,NORMATIVE STOCKS REQUIRED IN DAYS,DAILY REQUIREMENT,ACTUAL STOCK IMPORT,ACTUAL STOCK INDIGENOUS,ACTUAL STOCK TOTAL,ACTUAL STOCK DAYS,CRITICAL,SUPER CRITICAL,REMARKS
12/12/2013,NORTHERN,RAJASTHAN,RAIL,KOTA TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1240,30,22.5,0,260.548,260.548,12,NA,NA,NA
12/12/2013,SOUTHERN,TAMIL NADU,INTER MODAL,ENNORE TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,450,30,4.1,0,26.102,26.102,6,Critical,NA,Less Receipt
12/12/2013,SOUTHERN,TAMIL NADU,RAIL,VALLUR TPP,NTPC TAMILNADU ENERGY COMPANY LIMITED,CENTRAL,1500,30,13,0,49.799,49.799,4,Critical,NA,Less Receipt
12/12/2013,SOUTHERN,TAMIL NADU,INTER MODAL,NORTH CHENNAI TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,1830,30,24.2,35.287,78.542,113.829,5,Critical,NA,Less Import
12/12/2013,SOUTHERN,TAMIL NADU,INTER MODAL,METTUR TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,1440,30,19.1,124.738,225.321,350.059,18,NA,NA,NA
12/12/2013,SOUTHERN,TAMIL NADU,INTER MODAL,TUTICORIN TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,1050,30,17.2,50.654,290.681,341.335,20,NA,NA,NA
12/12/2013,NORTHERN,UTTAR PRADESH,RAIL,UNCHAHAR TPS,NTPC LIMITED.,CENTRAL,1050,25,15.9,0,10.02,10.02,1,Critical,SuperCritical,Less Receipt
12/12/2013,NORTHERN,UTTAR PRADESH,RAIL,TANDA TPS,NTPC LIMITED.,CENTRAL,440,25,8,0,40.986,40.986,5,Critical,NA,Less Receipt
12/12/2013,NORTHERN,UTTAR PRADESH,PITHEAD,RIHAND STPS,NTPC LIMITED.,CENTRAL,3000,15,34.7,0,42.766,42.766,1,Critical,SuperCritical,Less Receipt
12/12/2013,NORTHERN,UTTAR PRADESH,RAIL,PANKI TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,210,20,2.7,0,50.526,50.526,18,NA,NA,NA
12/12/2013,NORTHERN,UTTAR PRADESH,PITHEAD,ANPARA C TPS,LANCO ANPARA POWER PVT. LTD.,IPP,1200,25,13.6,0,51.828,51.828,4,Critical,NA,Less Import
12/12/2013,NORTHERN,UTTAR PRADESH,RAIL,PARICHHA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1140,30,15,0,56.893,56.893,4,Critical,NA,Unloading Constraint
12/12/2013,NORTHERN,UTTAR PRADESH,RAIL,HARDUAGANJ TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,665,25,7.7,0,57.809,57.809,7,NA,NA,NA
12/12/2013,NORTHERN,UTTAR PRADESH,PITHEAD,SINGRAULI STPS,NTPC LIMITED.,CENTRAL,2000,15,31.6,0,92.663,92.663,3,Critical,SuperCritical,Less Receipt - NCL
12/12/2013,NORTHERN,UTTAR PRADESH,RAIL,ROSA TPP Ph-I,ROSSA POWER SUPPLY CO. LTD.,IPP,1200,25,14.4,61.826,144.261,206.087,14,NA,NA,Inadequate linkage
12/12/2013,NORTHERN,UTTAR PRADESH,RAIL,DADRI (NCTPP),NTPC LIMITED.,CENTRAL,1820,30,25.2,194.339,212.05,406.389,16,NA,NA,NA
12/12/2013,NORTHERN,UTTAR PRADESH,RAIL,OBRA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1278,20,12.5,0,232.615,232.615,19,NA,NA,NA
12/12/2013,NORTHERN,UTTAR PRADESH,PITHEAD,ANPARA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1630,15,22.9,0,367.296,367.296,16,NA,NA,NA
12/12/2013,EASTERN,WEST BENGAL,RAIL,SAGARDIGHI TPS,WEST BENGAL POWER DEVELOPMENT CORP. LIMITED,STATE,600,20,7.9,0,3.136,3.136,0,Critical,SuperCritical,NA
12/12/2013,EASTERN,WEST BENGAL,RAIL,KOLAGHAT TPS,WEST BENGAL POWER DEVELOPMENT CORP. LIMITED,STATE,1260,25,17.3,0,4.772,4.772,0,Critical,SuperCritical,Less Receipt
12/12/2013,EASTERN,WEST BENGAL,RAIL,NEW COSSIPORE TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,160,20,1,0,16.37,16.37,16,NA,NA,NA
12/12/2013,EASTERN,WEST BENGAL,RAIL,SANTALDIH TPS,WEST BENGAL POWER DEVELOPMENT CORP. LIMITED,STATE,980,20,4.8,0,18.587,18.587,4,Critical,NA,Less Import
12/12/2013,EASTERN,WEST BENGAL,RAIL,D.P.L. TPS,DURGAPUR PROJECTS LIMITED,STATE,880,25,5.9,0,27.544,27.544,5,Critical,NA,Less Receipt
12/12/2013,EASTERN,WEST BENGAL,RAIL,BAKRESWAR TPS,WEST BENGAL POWER DEVELOPMENT CORP. LIMITED,STATE,1050,20,13.7,0,31.397,31.397,2,Critical,SuperCritical,Less Receipt
12/12/2013,EASTERN,WEST BENGAL,RAIL,MEJIA TPS,DAMODAR VALLEY CORPORATION,CENTRAL,2340,20,24.2,0,41.262,41.262,2,Critical,SuperCritical,Less Import
12/12/2013,EASTERN,WEST BENGAL,RAIL,SOUTHERN REPL. TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,135,20,2.2,0,60.196,60.196,28,NA,NA,NA
12/12/2013,EASTERN,WEST BENGAL,RAIL,BANDEL TPS,WEST BENGAL POWER DEVELOPMENT CORP. LIMITED,STATE,450,20,4.6,0,62.152,62.152,14,NA,NA,NA
12/12/2013,EASTERN,WEST BENGAL,RAIL,TITAGARH TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,240,20,3.3,0,64.46,64.46,20,NA,NA,NA
12/12/2013,EASTERN,WEST BENGAL,RAIL,DURGAPUR STEEL TPS,DAMODAR VALLEY CORPORATION,CENTRAL,1000,20,9.4,0,96.764,96.764,10,NA,NA,NA
12/12/2013,EASTERN,WEST BENGAL,RAIL,BUDGE BUDGE TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,750,20,9.8,0,145.136,145.136,15,NA,NA,NA
12/12/2013,EASTERN,WEST BENGAL,RAIL,DURGAPUR TPS,DAMODAR VALLEY CORPORATION,CENTRAL,340,20,4,0,177.002,177.002,44,NA,NA,NA
12/12/2013,EASTERN,WEST BENGAL,PITHEAD,FARAKKA STPS,NTPC LIMITED.,CENTRAL,2100,15,25.2,10.903,209.345,220.248,9,NA,NA,NA
12/13/2013,SOUTHERN,ANDHRA PRADESH,RAIL,SIMHADRI,NTPC LIMITED.,CENTRAL,2000,25,28.1,38.795,3.588,42.383,2,Critical,SuperCritical,NA
12/13/2013,SOUTHERN,ANDHRA PRADESH,RAIL,RAYALASEEMA TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,1050,25,15.2,0,31.012,31.012,2,Critical,SuperCritical,NA
12/13/2013,SOUTHERN,ANDHRA PRADESH,RAIL,KAKATIYA TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,500,25,6.8,0,31.341,31.341,5,Critical,NA,NA
12/13/2013,SOUTHERN,ANDHRA PRADESH,RAIL,KOTHAGUDEM TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,1720,20,22.3,0,38.047,38.047,2,Critical,SuperCritical,NA
12/13/2013,SOUTHERN,ANDHRA PRADESH,PITHEAD,RAMAGUNDEM STPS,NTPC LIMITED.,CENTRAL,2600,15,38.7,5.317,43.775,49.092,1,Critical,SuperCritical,NA
12/13/2013,SOUTHERN,ANDHRA PRADESH,RAIL,Dr. N.TATA RAO TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,1760,20,27.2,4.597,182.3,186.897,7,NA,NA,NA
12/13/2013,EASTERN,BIHAR,RAIL,MUZAFFARPUR TPS,KANTI BIJLEE UTPADAN NIGAM LTD.,CENTRAL,220,20,1.1,0,3.31,3.31,3,Critical,SuperCritical,NA
12/13/2013,EASTERN,BIHAR,RAIL,BARAUNI TPS,BIHAR STATE ELECTRICITY BOARD,STATE,210,20,0.7,0,9.186,9.186,14,NA,NA,NA
12/13/2013,EASTERN,BIHAR,PITHEAD,KAHALGAON TPS,NTPC LIMITED.,CENTRAL,2340,15,38.7,37.626,400.231,437.857,11,NA,NA,NA
12/13/2013,WESTERN,CHHATTISGARH,RAIL,AKALTARA TPS,WARDHA POWER COMPANY LTD,IPP,1200,20,6.8,0,95.143,95.143,14,NA,NA,NA
12/13/2013,WESTERN,CHHATTISGARH,RAIL,PATHADI TPP,LANCO AMARKANTAK POWER PVT. LTD.,IPP,600,15,7.5,0,185.876,185.876,25,NA,NA,NA
12/13/2013,WESTERN,CHHATTISGARH,RAIL,BHILAI TPS,NTPC-SAIL POWER CO. PVT. LTD.,CENTRAL,500,25,7.1,49.542,252.4,301.942,43,NA,NA,NA
12/13/2013,WESTERN,CHHATTISGARH,PITHEAD,KORBA-II,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,440,15,7.5,0,260.232,260.232,35,NA,NA,NA
12/13/2013,WESTERN,CHHATTISGARH,PITHEAD,KORBA-WEST TPS,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,1340,15,12.5,0,282.294,282.294,23,NA,NA,NA
12/13/2013,WESTERN,CHHATTISGARH,RAIL,DSPM TPS,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,500,15,7.8,0,341.659,341.659,44,NA,NA,NA
12/13/2013,WESTERN,CHHATTISGARH,PITHEAD,KORBA STPS,NTPC LIMITED.,CENTRAL,2600,15,43.6,1.298,404.764,406.062,9,NA,NA,NA
12/13/2013,WESTERN,CHHATTISGARH,PITHEAD,SIPAT STPS,NTPC LIMITED.,CENTRAL,2980,20,40.6,642.32,478.246,1120.566,28,NA,NA,NA
12/13/2013,NORTHERN,DELHI,RAIL,RAJGHAT TPS,INDRAPRASTHA POWER GENERATION COMPANY LIMITED,STATE,135,20,1.8,0,79.897,79.897,44,NA,NA,NA
12/13/2013,NORTHERN,DELHI,RAIL,BADARPUR TPS,NTPC LIMITED.,CENTRAL,705,30,11.3,0,212.742,212.742,19,NA,NA,NA
12/13/2013,WESTERN,GUJARAT,RAIL,SIKKA REP. TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,240,30,3.2,0.327,34.756,35.083,11,NA,NA,NA
12/13/2013,WESTERN,GUJARAT,RAIL,SABARMATI (C STATION),TORRENT POWER LTD,PRIVATE,400,30,5.7,0,106.45,106.45,19,NA,NA,NA
12/13/2013,WESTERN,GUJARAT,RAIL,GANDHI NAGAR TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,870,30,11.7,0.272,179.189,179.461,15,NA,NA,NA
12/13/2013,WESTERN,GUJARAT,RAIL,UKAI TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,1350,30,14.7,0,298.789,298.789,20,NA,NA,NA
12/13/2013,WESTERN,GUJARAT,RAIL,WANAKBORI TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,1470,30,22.4,0,392.138,392.138,18,NA,NA,NA
12/13/2013,NORTHERN,HARYANA,RAIL,MAHATMA GANDHI TPS,JHAJJAR POWER LTD.,IPP,1320,25,17.8,29.324,76.731,106.055,6,Critical,NA,NA
12/13/2013,NORTHERN,HARYANA,RAIL,YAMUNA NAGAR TPS,HARYANA POWER GENERATION CORPORATION LIMITED,STATE,600,25,7.4,12.663,199.158,211.821,29,NA,NA,NA
12/13/2013,NORTHERN,HARYANA,RAIL,INDIRA GANDHI STPP,ARAVALI POWER COMPANY PRIVATE LIMITED,CENTRAL,1500,25,20.3,152.896,400.206,553.102,27,NA,NA,NA
12/13/2013,NORTHERN,HARYANA,RAIL,PANIPAT TPS,HARYANA POWER GENERATION CORPORATION LIMITED,STATE,1360,25,20.9,10.682,467.842,478.524,23,NA,NA,NA
12/13/2013,NORTHERN,HARYANA,RAIL,RAJIV GANDHI TPS,HARYANA POWER GENERATION CORPORATION LIMITED,STATE,1200,25,13.1,29.965,560.204,590.169,45,NA,NA,NA
12/13/2013,EASTERN,JHARKHAND,RAIL,MAHADEV PRASAD STPP,ADHUNIK ALLOYS AND POWER LTD,IPP,540,20,6.8,0,37.374,37.374,6,Critical,NA,NA
12/13/2013,EASTERN,JHARKHAND,RAIL,CHANDRAPURA(DVC) TPS,DAMODAR VALLEY CORPORATION,CENTRAL,890,20,9.4,0,61.943,61.943,7,NA,NA,NA
12/13/2013,EASTERN,JHARKHAND,RAIL,PATRATU TPS,JHARKHAND STATE ELECTRICITY BOARD,STATE,770,20,2.7,0,67.463,67.463,26,NA,NA,NA
