TRDATE,REGION,STATENAME,MODEOFTRANSPORT,STATIONNAME,UTILITY,SECTOR,CAPACITY,NORMATIVESTOCKSREQUIREDINDAYS,DAILYREQUIREMENT,ACTUALSTOCKIMPORT,ACTUALSTOCKINDIGENOUS,ACTUALSTOCKTOTAL,ACTUALSTOCKDAYS,CRITICAL,SUPERCRITICAL,REMARKS
15-Dec-14,SOUTHERN,ANDHRA PRADESH,PITHEAD,RAMAGUNDEM STPS,NTPC LIMITED.,CENTRAL,"2,600",15,35,0,480,480,14,NA,NA,NA
15-Dec-14,SOUTHERN,ANDHRA PRADESH,RAIL,KOTHAGUDEM TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,"1,720",20,27,0,491,491,18,NA,NA,NA
15-Dec-14,EASTERN,BIHAR,RAIL,BARAUNI TPS,BIHAR STATE ELECTRICITY BOARD,STATE,210,20,0,0,0,0,0,Critical,SuperCritical,NA
15-Dec-14,EASTERN,BIHAR,RAIL,MUZAFFARPUR TPS,KANTI BIJLEE UTPADAN NIGAM LTD.,CENTRAL,220,20,3,0,2,2,0,Critical,SuperCritical,NA
15-Dec-14,EASTERN,BIHAR,PITHEAD,KAHALGAON TPS,NTPC LIMITED.,CENTRAL,"2,340",15,34,29,605,634,19,NA,NA,NA
15-Dec-14,WESTERN,CHHATTISGARH,RAIL,BARADARHA TPS,D.B.POWER CORP. LTD.,IPP,600,15,8,0,0,0,0,Critical,SuperCritical,NA
15-Dec-14,WESTERN,CHHATTISGARH,PITHEAD,KORBA-II,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,440,15,8,0,2,2,0,Critical,SuperCritical,NA
15-Dec-14,WESTERN,CHHATTISGARH,RAIL,PATHADI TPP,LANCO AMARKANTAK POWER PVT. LTD.,IPP,600,15,6,0,30,30,5,Critical,NA,NA
15-Dec-14,WESTERN,CHHATTISGARH,PITHEAD,KORBA-WEST TPS,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,"1,340",15,19,0,71,71,4,Critical,NA,NA
15-Dec-14,WESTERN,CHHATTISGARH,RAIL,DSPM TPS,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,500,15,8,0,119,119,15,NA,NA,NA
15-Dec-14,WESTERN,CHHATTISGARH,PITHEAD,SIPAT STPS,NTPC LIMITED.,CENTRAL,"2,980",15,44,3,131,133,3,Critical,SuperCritical,NA
15-Dec-14,WESTERN,CHHATTISGARH,RAIL,BHILAI TPS,NTPC-SAIL POWER  CO. PVT. LTD.,CENTRAL,500,20,7,81,170,251,36,NA,NA,NA
15-Dec-14,WESTERN,CHHATTISGARH,PITHEAD,KORBA STPS,NTPC LIMITED.,CENTRAL,"2,600",15,45,0,203,203,5,Critical,NA,NA
15-Dec-14,NORTHERN,DELHI,RAIL,RAJGHAT TPS,INDRAPRASTHA  POWER GENERATION COMPANY LIMITED,STATE,135,20,2,0,60,60,39,NA,NA,NA
15-Dec-14,NORTHERN,DELHI,RAIL,BADARPUR TPS,NTPC LIMITED.,CENTRAL,705,30,15,0,94,94,6,Critical,NA,NA
15-Dec-14,WESTERN,GUJARAT,RAIL,SIKKA REP. TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,240,30,3,0,23,23,9,NA,NA,NA
15-Dec-14,WESTERN,GUJARAT,RAIL,SABARMATI (C STATION),TORRENT POWER LTD,PRIVATE,400,30,5,27,24,51,10,NA,NA,NA
15-Dec-14,WESTERN,GUJARAT,RAIL,GANDHI NAGAR TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,870,30,7,45,56,101,14,NA,NA,NA
15-Dec-14,WESTERN,GUJARAT,RAIL,UKAI TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,"1,350",30,14,56,91,147,11,NA,NA,NA
15-Dec-14,WESTERN,GUJARAT,RAIL,WANAKBORI TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,"1,470",30,16,0,165,165,10,NA,NA,NA
15-Dec-14,NORTHERN,HARYANA,RAIL,PANIPAT TPS,HARYANA POWER  GENERATION CORPORATION LIMITED,STATE,"1,360",25,21,3,7,9,0,Critical,SuperCritical,NA
15-Dec-14,NORTHERN,HARYANA,RAIL,INDIRA GANDHI STPP,ARAVALI POWER COMPANY PRIVATE LIMITED,CENTRAL,"1,500",25,21,4,8,11,1,Critical,SuperCritical,NA
15-Dec-14,NORTHERN,HARYANA,RAIL,RAJIV GANDHI TPS,HARYANA POWER  GENERATION CORPORATION LIMITED,STATE,"1,200",25,17,30,48,78,5,Critical,NA,NA
15-Dec-14,NORTHERN,HARYANA,RAIL,MAHATMA GANDHI TPS,JHAJJAR POWER LTD.,IPP,"1,320",25,17,15,75,90,5,Critical,NA,NA
15-Dec-14,NORTHERN,HARYANA,RAIL,YAMUNA NAGAR TPS,HARYANA POWER  GENERATION CORPORATION LIMITED,STATE,600,25,11,4,144,147,14,NA,NA,NA
15-Dec-14,EASTERN,JHARKHAND,RAIL,CHANDRAPURA(DVC) TPS,DAMODAR VALLEY CORPORATION,CENTRAL,890,20,10,0,11,11,1,Critical,SuperCritical,NA
15-Dec-14,EASTERN,JHARKHAND,RAIL,PATRATU TPS,JHARKHAND STATE ELECTRICITY BOARD,STATE,770,20,2,0,34,34,17,NA,NA,NA
